filename,width,height,class,xmin,ymin,xmax,ymax
00000670.jpg,1024,1024,pickup,853,146,904,164
00000819.jpg,1024,1024,car,69,82,107,106
00000468.jpg,1024,1024,other,648,196,735,230
00000468.jpg,1024,1024,camping car,737,228,805,250
00000468.jpg,1024,1024,other,759,255,833,284
00000468.jpg,1024,1024,other,775,286,833,314
00000468.jpg,1024,1024,truck,844,330,917,360
00000468.jpg,1024,1024,car,858,368,899,383
00000468.jpg,1024,1024,truck,717,385,894,415
00000468.jpg,1024,1024,car,807,605,849,625
00000035.jpg,1024,1024,pickup,27,636,76,664
00000035.jpg,1024,1024,car,43,660,84,684
00000035.jpg,1024,1024,camping car,488,319,532,349
00000035.jpg,1024,1024,car,690,606,708,642
00000998.jpg,1024,1024,car,663,823,686,857
00000998.jpg,1024,1024,camping car,699,819,727,879
00000998.jpg,1024,1024,camping car,988,829,1012,874
00000131.jpg,1024,1024,plane,381,46,653,306
00000355.jpg,1024,1024,other,611,292,644,412
00000355.jpg,1024,1024,other,612,148,647,265
00000055.jpg,1024,1024,car,503,171,538,201
00000055.jpg,1024,1024,pickup,483,187,523,223
00000055.jpg,1024,1024,car,63,503,104,520
00000055.jpg,1024,1024,car,740,242,756,277
00001144.jpg,1024,1024,car,1,500,38,517
00001144.jpg,1024,1024,camping car,895,310,922,395
00001144.jpg,1024,1024,pickup,894,251,919,306
00001144.jpg,1024,1024,tractor,895,127,931,172
00001144.jpg,1024,1024,pickup,803,101,827,147
00001144.jpg,1024,1024,pickup,739,227,787,252
00001136.jpg,1024,1024,tractor,205,568,232,598
00001136.jpg,1024,1024,car,233,574,256,619
00001136.jpg,1024,1024,pickup,276,706,324,737
00001136.jpg,1024,1024,pickup,492,624,542,642
00001136.jpg,1024,1024,truck,698,386,724,537
00001136.jpg,1024,1024,camping car,265,940,291,1008
00001050.jpg,1024,1024,pickup,888,642,941,661
00000929.jpg,1024,1024,camping car,657,200,745,230
00000929.jpg,1024,1024,car,671,244,714,265
00000543.jpg,1024,1024,car,624,392,664,410
00000543.jpg,1024,1024,car,618,252,653,287
00000543.jpg,1024,1024,car,553,196,591,230
00000366.jpg,1024,1024,car,446,156,488,173
00000366.jpg,1024,1024,pickup,463,833,510,871
00000366.jpg,1024,1024,car,464,911,504,949
00000366.jpg,1024,1024,car,931,520,976,534
00000420.jpg,1024,1024,other,900,197,963,245
00000446.jpg,1024,1024,car,958,534,991,572
00000446.jpg,1024,1024,car,799,534,847,567
00000446.jpg,1024,1024,car,771,544,808,572
00000983.jpg,1024,1024,pickup,268,841,317,863
00001000.jpg,1024,1024,car,320,353,339,398
00000320.jpg,1024,1024,camping car,161,378,187,450
00000320.jpg,1024,1024,pickup,98,275,146,294
00000320.jpg,1024,1024,pickup,355,281,377,323
00000320.jpg,1024,1024,car,601,640,644,654
00001035.jpg,1024,1024,car,964,588,992,624
00000232.jpg,1024,1024,pickup,673,258,728,272
00001229.jpg,1024,1024,camping car,712,658,743,745
00001229.jpg,1024,1024,car,707,757,743,776
00000659.jpg,1024,1024,pickup,826,217,846,257
00000792.jpg,1024,1024,tractor,607,128,629,158
00000754.jpg,1024,1024,pickup,455,876,496,893
00000577.jpg,1024,1024,truck,23,57,47,229
00000577.jpg,1024,1024,truck,51,142,73,231
00000577.jpg,1024,1024,boat,81,160,102,222
00000577.jpg,1024,1024,car,143,797,187,816
00000577.jpg,1024,1024,pickup,149,847,192,866
00000171.jpg,1024,1024,pickup,365,480,392,526
00000171.jpg,1024,1024,pickup,297,458,337,511
00000171.jpg,1024,1024,car,322,374,361,412
00000299.jpg,1024,1024,truck,764,18,783,61
00000299.jpg,1024,1024,camping car,785,15,810,51
00000299.jpg,1024,1024,other,625,75,676,112
00000299.jpg,1024,1024,truck,806,81,865,106
00000299.jpg,1024,1024,pickup,685,592,729,616
00000016.jpg,1024,1024,car,87,667,129,696
00000900.jpg,1024,1024,car,170,16,189,53
00001169.jpg,1024,1024,camping car,449,339,475,419
00001169.jpg,1024,1024,camping car,437,76,463,154
00001169.jpg,1024,1024,pickup,438,160,465,215
00001169.jpg,1024,1024,truck,227,112,289,137
00000882.jpg,1024,1024,pickup,356,139,403,167
00000882.jpg,1024,1024,camping car,229,41,308,82
00000882.jpg,1024,1024,car,966,325,1004,363
00000882.jpg,1024,1024,car,652,583,687,617
00000882.jpg,1024,1024,pickup,725,930,764,970
00000882.jpg,1024,1024,car,657,878,694,911
00000945.jpg,1024,1024,truck,6,660,132,810
00000945.jpg,1024,1024,car,326,388,358,426
00000593.jpg,1024,1024,other,292,75,359,107
00000593.jpg,1024,1024,other,368,136,465,202
00000593.jpg,1024,1024,car,162,74,188,125
00000593.jpg,1024,1024,car,271,627,292,677
00000593.jpg,1024,1024,car,275,750,295,786
00000343.jpg,1024,1024,car,145,292,164,334
00000780.jpg,1024,1024,car,195,85,213,125
00000780.jpg,1024,1024,car,243,139,279,162
00000368.jpg,1024,1024,car,703,106,742,133
00000368.jpg,1024,1024,pickup,715,745,741,794
00000368.jpg,1024,1024,pickup,385,550,436,581
00000368.jpg,1024,1024,car,457,951,494,964
00000368.jpg,1024,1024,pickup,210,948,259,962
00001156.jpg,1024,1024,car,183,141,222,155
00001195.jpg,1024,1024,pickup,171,415,218,440
00000206.jpg,1024,1024,truck,191,112,226,181
00000102.jpg,1024,1024,truck,70,935,120,1006
00000102.jpg,1024,1024,pickup,104,138,124,181
00000102.jpg,1024,1024,pickup,420,277,443,324
00000102.jpg,1024,1024,car,542,290,564,321
00000102.jpg,1024,1024,car,978,713,1002,752
00000102.jpg,1024,1024,camping car,981,759,1010,815
00001060.jpg,1024,1024,car,797,115,816,160
00001173.jpg,1024,1024,tractor,357,391,382,426
00001173.jpg,1024,1024,truck,526,534,557,599
00001132.jpg,1024,1024,pickup,504,122,524,171
00001175.jpg,1024,1024,van,964,704,984,749
00001175.jpg,1024,1024,camping car,962,764,987,832
00001175.jpg,1024,1024,car,929,688,960,734
00000062.jpg,1024,1024,car,63,692,102,707
00000062.jpg,1024,1024,car,174,506,189,547
00000062.jpg,1024,1024,car,139,408,181,425
00000062.jpg,1024,1024,car,37,289,59,327
00000062.jpg,1024,1024,pickup,665,455,688,504
00000077.jpg,1024,1024,car,864,571,901,589
00000348.jpg,1024,1024,pickup,647,847,681,897
00000763.jpg,1024,1024,camping car,794,295,821,364
00000763.jpg,1024,1024,car,831,266,848,302
00000763.jpg,1024,1024,car,854,361,873,403
00000763.jpg,1024,1024,car,913,250,959,266
00000498.jpg,1024,1024,van,313,427,345,476
00000498.jpg,1024,1024,car,366,457,389,491
00000498.jpg,1024,1024,car,389,457,416,497
00000497.jpg,1024,1024,car,342,358,388,376
00000497.jpg,1024,1024,car,740,325,765,360
00000497.jpg,1024,1024,car,703,301,731,341
00000497.jpg,1024,1024,boat,766,301,787,354
00000497.jpg,1024,1024,boat,780,274,799,308
00000497.jpg,1024,1024,car,739,367,776,381
00000497.jpg,1024,1024,other,592,537,631,608
00000497.jpg,1024,1024,camping car,365,683,431,705
00000497.jpg,1024,1024,pickup,302,518,327,559
00000497.jpg,1024,1024,car,335,534,355,568
00000646.jpg,1024,1024,pickup,843,952,893,976
00000738.jpg,1024,1024,pickup,806,733,854,752
00000014.jpg,1024,1024,car,359,625,404,650
00000931.jpg,1024,1024,pickup,67,27,87,67
00000931.jpg,1024,1024,other,417,595,466,637
00000931.jpg,1024,1024,car,588,567,619,593
00000931.jpg,1024,1024,camping car,521,553,593,605
00000931.jpg,1024,1024,camping car,565,636,608,674
00000931.jpg,1024,1024,car,930,695,954,743
00000665.jpg,1024,1024,pickup,611,56,666,74
00000665.jpg,1024,1024,car,618,153,668,170
00000665.jpg,1024,1024,pickup,727,66,779,87
00000199.jpg,1024,1024,car,376,227,415,250
00000199.jpg,1024,1024,car,365,272,408,293
00000614.jpg,1024,1024,car,409,276,425,314
00000614.jpg,1024,1024,car,684,364,706,409
00000614.jpg,1024,1024,car,766,356,783,391
00000614.jpg,1024,1024,car,888,361,919,407
00000614.jpg,1024,1024,pickup,1014,238,1024,277
00000552.jpg,1024,1024,car,273,19,303,57
00000094.jpg,1024,1024,tractor,2,702,31,730
00000762.jpg,1024,1024,car,84,230,125,248
00000762.jpg,1024,1024,other,154,162,216,190
00000762.jpg,1024,1024,other,200,3,296,54
00000376.jpg,1024,1024,pickup,946,607,1001,624
00000376.jpg,1024,1024,truck,795,671,849,694
00000264.jpg,1024,1024,truck,76,38,104,98
00000264.jpg,1024,1024,other,16,70,57,100
00000264.jpg,1024,1024,camping car,156,173,187,221
00000264.jpg,1024,1024,pickup,390,185,407,236
00000264.jpg,1024,1024,pickup,421,187,441,225
00000264.jpg,1024,1024,pickup,426,249,477,270
00000264.jpg,1024,1024,pickup,769,588,820,608
00000264.jpg,1024,1024,car,775,615,810,629
00000264.jpg,1024,1024,pickup,672,505,689,546
00000264.jpg,1024,1024,car,554,578,597,601
00000264.jpg,1024,1024,pickup,71,659,110,698
00000264.jpg,1024,1024,camping car,656,837,681,880
00000264.jpg,1024,1024,pickup,576,782,592,819
00000215.jpg,1024,1024,boat,849,14,899,42
00000649.jpg,1024,1024,camping car,151,24,208,47
00000649.jpg,1024,1024,pickup,91,23,123,73
00001078.jpg,1024,1024,car,957,40,980,85
00000067.jpg,1024,1024,pickup,101,37,156,63
00001259.jpg,1024,1024,car,676,317,721,337
00000609.jpg,1024,1024,pickup,407,516,450,558
00000609.jpg,1024,1024,car,373,517,416,559
00000609.jpg,1024,1024,boat,480,795,571,828
00000609.jpg,1024,1024,car,947,237,989,262
00000609.jpg,1024,1024,car,933,391,977,408
00000609.jpg,1024,1024,car,847,787,884,801
00000609.jpg,1024,1024,car,893,792,930,816
00000563.jpg,1024,1024,van,593,232,637,252
00000563.jpg,1024,1024,camping car,670,304,696,370
00000563.jpg,1024,1024,pickup,671,389,697,443
00000563.jpg,1024,1024,car,716,349,748,387
00000563.jpg,1024,1024,car,838,288,881,320
00000563.jpg,1024,1024,pickup,796,158,839,188
00000052.jpg,1024,1024,camping car,217,141,257,214
00000052.jpg,1024,1024,car,322,204,356,236
00000052.jpg,1024,1024,car,746,564,776,603
00000052.jpg,1024,1024,pickup,851,699,885,747
00000052.jpg,1024,1024,boat,376,461,425,497
00000052.jpg,1024,1024,car,134,657,169,699
00000052.jpg,1024,1024,car,157,652,188,679
00000052.jpg,1024,1024,car,173,638,205,669
00000052.jpg,1024,1024,car,46,390,85,414
00000052.jpg,1024,1024,car,41,424,85,443
00000052.jpg,1024,1024,car,95,900,138,930
00001042.jpg,1024,1024,tractor,968,17,993,61
00000217.jpg,1024,1024,truck,730,649,790,671
00000217.jpg,1024,1024,pickup,502,502,525,545
00000217.jpg,1024,1024,truck,501,588,524,652
00000217.jpg,1024,1024,camping car,349,552,377,607
00001053.jpg,1024,1024,boat,405,102,427,150
00000721.jpg,1024,1024,van,521,61,564,79
00000721.jpg,1024,1024,truck,635,71,686,91
00000721.jpg,1024,1024,truck,624,160,687,181
00000721.jpg,1024,1024,car,514,165,554,179
00000823.jpg,1024,1024,van,57,980,104,1022
00000823.jpg,1024,1024,car,778,384,819,412
00000823.jpg,1024,1024,other,913,566,947,604
00000823.jpg,1024,1024,car,992,138,1023,174
00000823.jpg,1024,1024,car,732,82,764,114
00000823.jpg,1024,1024,pickup,746,95,788,135
00000823.jpg,1024,1024,car,411,619,448,655
00000150.jpg,1024,1024,car,215,65,255,83
00000150.jpg,1024,1024,car,221,147,263,161
00000150.jpg,1024,1024,pickup,295,131,338,149
00000150.jpg,1024,1024,pickup,821,312,866,350
00000150.jpg,1024,1024,pickup,407,428,454,464
00000753.jpg,1024,1024,van,722,97,743,144
00000701.jpg,1024,1024,car,862,931,896,949
00000325.jpg,1024,1024,car,478,150,519,169
00000152.jpg,1024,1024,boat,218,659,259,709
00001214.jpg,1024,1024,tractor,749,395,772,423
00001214.jpg,1024,1024,tractor,777,440,799,483
00001214.jpg,1024,1024,pickup,912,433,943,485
00001026.jpg,1024,1024,truck,770,939,806,999
00000767.jpg,1024,1024,pickup,251,139,270,189
00000767.jpg,1024,1024,pickup,737,603,785,620
00000767.jpg,1024,1024,pickup,809,606,857,644
00000767.jpg,1024,1024,car,860,633,903,649
00000943.jpg,1024,1024,car,589,807,625,827
00000629.jpg,1024,1024,pickup,730,221,770,261
00000182.jpg,1024,1024,pickup,585,549,625,584
00000783.jpg,1024,1024,car,40,792,65,842
00000783.jpg,1024,1024,pickup,294,511,344,537
00000783.jpg,1024,1024,car,348,517,390,536
00000783.jpg,1024,1024,camping car,299,236,381,263
00000783.jpg,1024,1024,camping car,313,272,363,290
00001270.jpg,1024,1024,pickup,224,816,263,831
00001270.jpg,1024,1024,pickup,216,843,264,861
00001270.jpg,1024,1024,boat,285,837,331,856
00001270.jpg,1024,1024,van,442,272,463,319
00001270.jpg,1024,1024,camping car,717,237,748,321
00001270.jpg,1024,1024,camping car,815,403,852,423
00001165.jpg,1024,1024,car,360,946,398,962
00000933.jpg,1024,1024,car,196,192,235,211
00000612.jpg,1024,1024,truck,502,521,590,551
00000612.jpg,1024,1024,truck,482,617,572,666
00000612.jpg,1024,1024,truck,793,636,879,678
00000612.jpg,1024,1024,car,734,43,768,77
00001055.jpg,1024,1024,tractor,46,228,88,260
00001055.jpg,1024,1024,tractor,15,283,66,331
00001112.jpg,1024,1024,pickup,522,339,572,361
00000163.jpg,1024,1024,boat,815,574,855,600
00000885.jpg,1024,1024,car,54,663,102,696
00000885.jpg,1024,1024,car,482,383,519,414
00000885.jpg,1024,1024,car,504,389,542,424
00000885.jpg,1024,1024,camping car,704,91,782,121
00000108.jpg,1024,1024,boat,146,28,193,55
00000108.jpg,1024,1024,camping car,127,51,155,96
00000108.jpg,1024,1024,car,39,70,69,112
00000108.jpg,1024,1024,car,10,224,27,263
00000108.jpg,1024,1024,boat,162,992,209,1014
00000764.jpg,1024,1024,car,208,673,228,713
00000427.jpg,1024,1024,other,590,508,630,549
00000427.jpg,1024,1024,other,469,594,515,631
00000427.jpg,1024,1024,pickup,742,581,791,613
00000381.jpg,1024,1024,pickup,655,375,691,431
00000529.jpg,1024,1024,car,859,366,874,403
00000436.jpg,1024,1024,car,558,464,596,483
00000436.jpg,1024,1024,car,815,932,855,961
00000041.jpg,1024,1024,camping car,48,274,78,343
00000041.jpg,1024,1024,boat,56,344,88,370
00000041.jpg,1024,1024,pickup,895,93,933,110
00000041.jpg,1024,1024,van,945,84,990,103
00000041.jpg,1024,1024,car,975,34,1017,51
00000041.jpg,1024,1024,car,318,591,353,627
00000041.jpg,1024,1024,car,397,914,415,955
00000041.jpg,1024,1024,pickup,402,979,422,1017
00000200.jpg,1024,1024,other,504,443,523,485
00000200.jpg,1024,1024,car,250,384,292,402
00000970.jpg,1024,1024,tractor,861,216,901,257
00000970.jpg,1024,1024,camping car,940,416,972,467
00000696.jpg,1024,1024,car,782,47,822,82
00000786.jpg,1024,1024,car,86,643,130,670
00000786.jpg,1024,1024,car,331,646,374,664
00000786.jpg,1024,1024,car,840,522,857,563
00000786.jpg,1024,1024,car,883,513,901,547
00000416.jpg,1024,1024,pickup,797,780,823,822
00000605.jpg,1024,1024,car,875,396,918,407
00000605.jpg,1024,1024,pickup,419,958,443,1001
00000605.jpg,1024,1024,car,871,670,915,682
00000605.jpg,1024,1024,car,818,732,862,746
00000605.jpg,1024,1024,car,750,783,809,802
00000666.jpg,1024,1024,car,662,837,700,852
00000495.jpg,1024,1024,tractor,384,763,413,801
00000105.jpg,1024,1024,pickup,344,318,367,363
00000444.jpg,1024,1024,other,867,192,896,234
00000444.jpg,1024,1024,other,831,169,863,270
00001007.jpg,1024,1024,pickup,633,723,665,773
00001007.jpg,1024,1024,car,597,737,615,776
00000921.jpg,1024,1024,truck,893,705,938,774
00001150.jpg,1024,1024,car,239,315,278,334
00001150.jpg,1024,1024,car,915,555,937,607
00000866.jpg,1024,1024,car,457,138,497,154
00000888.jpg,1024,1024,car,858,539,893,553
00000888.jpg,1024,1024,car,408,1001,442,1024
00000888.jpg,1024,1024,pickup,912,544,950,586
00000739.jpg,1024,1024,truck,703,986,859,1011
00001189.jpg,1024,1024,camping car,717,595,794,629
00001189.jpg,1024,1024,car,594,463,625,494
00000227.jpg,1024,1024,boat,250,425,296,487
00000227.jpg,1024,1024,car,90,445,140,479
00000227.jpg,1024,1024,camping car,779,192,846,236
00000940.jpg,1024,1024,pickup,650,163,695,182
00000625.jpg,1024,1024,tractor,893,509,929,531
00000863.jpg,1024,1024,car,236,229,282,263
00000863.jpg,1024,1024,truck,623,512,694,546
00000863.jpg,1024,1024,tractor,628,278,671,313
00000863.jpg,1024,1024,truck,751,264,804,329
00001114.jpg,1024,1024,tractor,731,290,759,322
00001114.jpg,1024,1024,car,387,367,418,419
00001114.jpg,1024,1024,pickup,246,330,291,347
00001114.jpg,1024,1024,car,207,356,243,374
00000532.jpg,1024,1024,pickup,704,896,727,940
00000532.jpg,1024,1024,car,621,958,667,976
00000278.jpg,1024,1024,camping car,732,91,784,163
00000278.jpg,1024,1024,car,364,169,383,217
00000278.jpg,1024,1024,pickup,476,437,504,487
00000278.jpg,1024,1024,camping car,466,510,497,570
00000278.jpg,1024,1024,car,6,876,25,909
00000278.jpg,1024,1024,car,469,875,490,910
00000278.jpg,1024,1024,pickup,496,894,515,940
00000278.jpg,1024,1024,camping car,462,808,483,862
00000570.jpg,1024,1024,boat,769,117,822,136
00000570.jpg,1024,1024,other,579,750,626,775
00000570.jpg,1024,1024,other,844,830,861,871
00000570.jpg,1024,1024,pickup,645,938,697,960
00000782.jpg,1024,1024,car,340,753,380,772
00000782.jpg,1024,1024,car,896,158,913,197
00000782.jpg,1024,1024,car,942,197,959,235
00000782.jpg,1024,1024,car,934,698,958,739
00001215.jpg,1024,1024,tractor,41,39,71,57
00001215.jpg,1024,1024,pickup,246,276,273,327
00000389.jpg,1024,1024,pickup,938,509,959,560
00000822.jpg,1024,1024,car,310,203,343,237
00000822.jpg,1024,1024,pickup,139,268,179,319
00000811.jpg,1024,1024,pickup,142,151,187,176
00000811.jpg,1024,1024,car,196,178,235,193
00000811.jpg,1024,1024,car,319,196,356,211
00000811.jpg,1024,1024,pickup,356,236,403,253
00000811.jpg,1024,1024,car,360,259,400,275
00000811.jpg,1024,1024,pickup,498,135,546,162
00000811.jpg,1024,1024,pickup,813,251,858,271
00000682.jpg,1024,1024,truck,73,78,233,109
00001003.jpg,1024,1024,other,794,423,864,502
00001003.jpg,1024,1024,truck,810,48,887,107
00001003.jpg,1024,1024,truck,732,250,861,320
00000869.jpg,1024,1024,car,30,432,68,449
00000869.jpg,1024,1024,pickup,354,441,401,459
00000869.jpg,1024,1024,car,893,450,932,465
00001019.jpg,1024,1024,pickup,666,213,690,265
00001019.jpg,1024,1024,pickup,606,783,629,829
00000106.jpg,1024,1024,pickup,829,376,852,423
00000106.jpg,1024,1024,car,745,70,767,117
00000106.jpg,1024,1024,pickup,588,198,642,221
00000592.jpg,1024,1024,van,113,618,163,635
00000592.jpg,1024,1024,car,116,663,161,682
00000592.jpg,1024,1024,pickup,321,652,341,691
00000592.jpg,1024,1024,truck,396,638,421,695
00000592.jpg,1024,1024,pickup,449,651,477,702
00000592.jpg,1024,1024,truck,518,638,541,691
00000592.jpg,1024,1024,pickup,477,569,522,587
00000592.jpg,1024,1024,truck,351,537,515,564
00001130.jpg,1024,1024,pickup,521,260,570,279
00000032.jpg,1024,1024,car,313,326,333,360
00000032.jpg,1024,1024,pickup,299,618,325,669
00000032.jpg,1024,1024,car,51,712,92,730
00001232.jpg,1024,1024,pickup,361,571,411,591
00000901.jpg,1024,1024,car,893,21,935,44
00001188.jpg,1024,1024,tractor,58,511,89,547
00001188.jpg,1024,1024,truck,703,452,746,517
00000523.jpg,1024,1024,tractor,377,355,407,377
00000523.jpg,1024,1024,pickup,756,526,799,579
00000523.jpg,1024,1024,car,886,344,919,376
00000523.jpg,1024,1024,tractor,888,859,925,889
00000523.jpg,1024,1024,camping car,735,740,781,785
00000938.jpg,1024,1024,car,163,268,181,309
00000968.jpg,1024,1024,pickup,218,161,255,214
00000968.jpg,1024,1024,car,166,151,202,187
00000734.jpg,1024,1024,van,499,722,518,766
00000043.jpg,1024,1024,other,45,715,92,815
00000043.jpg,1024,1024,other,85,718,130,793
00000043.jpg,1024,1024,other,293,448,323,486
00000043.jpg,1024,1024,plane,705,122,759,198
00000043.jpg,1024,1024,car,444,601,486,625
00000043.jpg,1024,1024,truck,422,725,472,769
00000043.jpg,1024,1024,plane,407,631,506,699
00000043.jpg,1024,1024,plane,482,679,560,742
00000043.jpg,1024,1024,plane,524,623,612,693
00000043.jpg,1024,1024,plane,586,665,676,729
00000043.jpg,1024,1024,plane,630,605,728,687
00000043.jpg,1024,1024,plane,690,650,784,720
00000043.jpg,1024,1024,plane,736,583,831,664
00000043.jpg,1024,1024,plane,791,988,871,1024
00000236.jpg,1024,1024,tractor,414,183,455,210
00001115.jpg,1024,1024,pickup,166,614,227,645
00001115.jpg,1024,1024,pickup,77,623,124,642
00001115.jpg,1024,1024,pickup,2,655,55,672
00001115.jpg,1024,1024,truck,573,598,634,641
00001115.jpg,1024,1024,truck,500,618,562,642
00001115.jpg,1024,1024,truck,497,736,561,758
00001115.jpg,1024,1024,pickup,467,709,518,730
